> SIRV101
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 193
  105:686|676eae74-cce3-489b-acd5-1dc2d24afb43_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=121042_ch=42_start_time=2019-04-13T20:02:44Z_strand=+_strand=+ 245 143 65
  57:519|e28385cd-7b60-41c0-97cf-00195edb22e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40282_ch=297_start_time=2019-04-13T00:06:18Z_strand=-_strand=+ 143 222 46
  57:519|e28385cd-7b60-41c0-97cf-00195edb22e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40282_ch=297_start_time=2019-04-13T00:06:18Z_strand=-_strand=+ 372 331 68
  50:616|0c325d16-c437-4564-9f00-a41847405b05_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=132733_ch=474_start_time=2019-04-13T21:58:31Z_strand=-_strand=+ 127 143 61
  50:616|0c325d16-c437-4564-9f00-a41847405b05_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=132733_ch=474_start_time=2019-04-13T21:58:31Z_strand=-_strand=+ 412 422 57
  61:631|b0194cfb-f83d-4ced-99a3-e7f3438853e4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=92804_ch=67_start_time=2019-04-13T18:27:12Z_strand=-_strand=+ 6 10 544
  109:596|1f2e5757-5f81-4929-8bdc-377f95a3cae4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=80325_ch=247_start_time=2019-04-13T10:52:39Z_strand=+_strand=+ 1 14 74
  109:596|1f2e5757-5f81-4929-8bdc-377f95a3cae4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=80325_ch=247_start_time=2019-04-13T10:52:39Z_strand=+_strand=+ 150 165 41
  55:516|d0127e58-5b82-4905-8a02-2d9451749441_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=105605_ch=485_start_time=2019-04-13T17:55:39Z_strand=-_strand=+ 157 236 76
  55:516|d0127e58-5b82-4905-8a02-2d9451749441_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=105605_ch=485_start_time=2019-04-13T17:55:39Z_strand=-_strand=+ 369 338 84
  92:654|bc648d6b-6f5c-45d8-8625-cba09cdfa1ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=54667_ch=90_start_time=2019-04-13T04:13:09Z_strand=+_strand=+ 36 42 68
  111:597|5e357247-f6b9-43d8-b224-2a86bd5eb3ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=119197_ch=249_start_time=2019-04-14T09:21:07Z_strand=+_strand=+ 2 17 191
  88:1140|0a33d540-5999-43f2-b680-03f8a5a696ad_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=126331_ch=364_start_time=2019-04-13T22:36:35Z_strand=+_strand=+ 72 83 123
  88:1140|0a33d540-5999-43f2-b680-03f8a5a696ad_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=126331_ch=364_start_time=2019-04-13T22:36:35Z_strand=+_strand=+ 570 240 162
  88:1140|0a33d540-5999-43f2-b680-03f8a5a696ad_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=126331_ch=364_start_time=2019-04-13T22:36:35Z_strand=+_strand=+ 732 400 79
  105:656|e74ade75-3064-4ca2-b16e-66cf40545a23_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38081_ch=500_start_time=2019-04-13T00:09:19Z_strand=+_strand=+ 392 235 151
  102:676|5e70d7c5-3e6e-4b63-9c1c-e3af8f4ffe68_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43353_ch=443_start_time=2019-04-13T01:43:42Z_strand=+_strand=+_rescue=1 3 6 519
  111:898|e2d283ef-f35c-440b-af39-62ea04088db4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=41134_ch=331_start_time=2019-04-13T03:17:38Z_strand=+_strand=+ 479 328 224
  104:868|554b862b-7535-4365-934d-e7bbf418315e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20045_ch=135_start_time=2019-04-12T20:26:18Z_strand=+_strand=+ 485 340 176
  108:587|d4149bfd-d76a-44cd-8075-9c2bdf29103d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=13460_ch=265_start_time=2019-04-12T18:32:24Z_strand=+_strand=+ 3 18 187
  108:1195|69cfb650-90e5-4dd9-8901-e7edf5f10848_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22943_ch=34_start_time=2019-04-12T21:16:06Z_strand=+_strand=+ 9 17 80
  108:1195|69cfb650-90e5-4dd9-8901-e7edf5f10848_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22943_ch=34_start_time=2019-04-12T21:16:06Z_strand=+_strand=+ 595 222 199
  53:584|aa5911a8-3161-419b-a08c-2079ad3c1624_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=6268_ch=508_start_time=2019-04-12T16:57:09Z_strand=-_strand=+ 411 275 82
  107:693|74134819-d514-44ce-9323-776453e0adac_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12142_ch=449_start_time=2019-04-12T17:54:01Z_strand=+_strand=+ 27 24 159
  107:693|74134819-d514-44ce-9323-776453e0adac_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12142_ch=449_start_time=2019-04-12T17:54:01Z_strand=+_strand=+ 214 206 105
  56:429|4fae6ef1-9114-46c6-afa4-762d658734a2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=9433_ch=131_start_time=2019-04-12T17:44:15Z_strand=-_strand=+ 81 270 88
  56:429|4fae6ef1-9114-46c6-afa4-762d658734a2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=9433_ch=131_start_time=2019-04-12T17:44:15Z_strand=-_strand=+ 227 413 110
  104:561|5f501d1b-9271-4a3d-acd0-d609f4e89bf3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=15795_ch=508_start_time=2019-04-12T18:45:05Z_strand=+_strand=+ 76 60 146
  108:1197|f89a19e5-152e-4e2e-8955-a3952a1e3aa8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=41135_ch=194_start_time=2019-04-13T01:08:14Z_strand=+_strand=+ 1 8 189
  57:1586|4895d470-5aed-4d30-99cd-539c48d471d5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25604_ch=417_start_time=2019-04-12T21:26:35Z_strand=-_strand=+ 113 93 112
  57:1586|4895d470-5aed-4d30-99cd-539c48d471d5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25604_ch=417_start_time=2019-04-12T21:26:35Z_strand=-_strand=+ 633 239 295
  1001:1484|640066ab-7b19-4df6-abbd-6024b7152d28_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=45242_ch=327_start_time=2019-04-13T01:01:40Z_strand=-_strand=+_rescue=1 61 72 142
  56:628|45fb4cd9-2706-4d35-ab60-cae287f86ef5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101966_ch=15_start_time=2019-04-13T16:03:44Z_strand=-_strand=+ 117 123 53
  56:628|45fb4cd9-2706-4d35-ab60-cae287f86ef5_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101966_ch=15_start_time=2019-04-13T16:03:44Z_strand=-_strand=+ 192 201 370
  95:559|90138b76-278b-4659-890e-5ad48dcb90f9_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=74896_ch=464_start_time=2019-04-13T09:55:53Z_strand=+_strand=+ 164 230 82
  95:559|90138b76-278b-4659-890e-5ad48dcb90f9_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=74896_ch=464_start_time=2019-04-13T09:55:53Z_strand=+_strand=+ 380 328 71
  112:694|8f707b63-f2d6-4bc0-a680-6b605dae5d3d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=50071_ch=14_start_time=2019-04-13T03:09:20Z_strand=+_strand=+ 23 28 90
  58:846|791ab7de-3bd7-4b8e-8e28-aa098395ef6b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=86146_ch=280_start_time=2019-04-13T17:04:08Z_strand=-_strand=+ 518 358 123
  110:696|ffcc3bc7-cbd2-494f-896b-28b3f06dec3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32517_ch=197_start_time=2019-04-12T23:35:25Z_strand=+_strand=+ 12 14 100
  110:696|ffcc3bc7-cbd2-494f-896b-28b3f06dec3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=32517_ch=197_start_time=2019-04-12T23:35:25Z_strand=+_strand=+ 137 128 427
  58:632|915127ff-a448-4597-8745-fb2fe7061020_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12766_ch=381_start_time=2019-04-12T18:09:49Z_strand=-_strand=+ 12 18 93
  58:632|915127ff-a448-4597-8745-fb2fe7061020_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=12766_ch=381_start_time=2019-04-12T18:09:49Z_strand=-_strand=+ 153 161 409
> SIRV607
  115:588|c4c14d1d-9938-4def-bc80-4fddee7015ba_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19969_ch=65_start_time=2019-04-12T20:12:58Z_strand=+_strand=+_rescue=1 0 8 96
  115:588|c4c14d1d-9938-4def-bc80-4fddee7015ba_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19969_ch=65_start_time=2019-04-12T20:12:58Z_strand=+_strand=+_rescue=1 107 225 92
  115:588|c4c14d1d-9938-4def-bc80-4fddee7015ba_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19969_ch=65_start_time=2019-04-12T20:12:58Z_strand=+_strand=+_rescue=1 272 398 89
  99:678|1a8e6ff8-6abb-497e-a4db-73e5d5f1ab79_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38546_ch=350_start_time=2019-04-13T00:59:03Z_strand=+_strand=+ 16 8 108
  99:678|1a8e6ff8-6abb-497e-a4db-73e5d5f1ab79_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38546_ch=350_start_time=2019-04-13T00:59:03Z_strand=+_strand=+ 134 228 91
  101:520|c0824638-7c6a-47b3-98d6-d11513e1f693_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78535_ch=47_start_time=2019-04-13T10:06:57Z_strand=+_strand=+ 24 6 106
  101:520|c0824638-7c6a-47b3-98d6-d11513e1f693_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78535_ch=47_start_time=2019-04-13T10:06:57Z_strand=+_strand=+ 142 230 47
  111:608|8c815b84-7252-4f24-93ca-04281a821c88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18716_ch=282_start_time=2019-04-12T19:49:53Z_strand=+_strand=+ 1 10 65
  111:608|8c815b84-7252-4f24-93ca-04281a821c88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18716_ch=282_start_time=2019-04-12T19:49:53Z_strand=+_strand=+ 139 245 257
  113:692|89341c42-621b-43ce-8b87-720fa3427942_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=137609_ch=223_start_time=2019-04-13T23:11:39Z_strand=+_strand=+ 0 3 93
  113:692|89341c42-621b-43ce-8b87-720fa3427942_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=137609_ch=223_start_time=2019-04-13T23:11:39Z_strand=+_strand=+ 132 132 318
  113:692|89341c42-621b-43ce-8b87-720fa3427942_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=137609_ch=223_start_time=2019-04-13T23:11:39Z_strand=+_strand=+ 457 454 114
  764:1261|61da7d71-b0dd-45a9-bbbd-854f314aeffb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=64626_ch=160_start_time=2019-04-13T12:22:11Z_strand=+_strand=+_rescue=1 16 25 81
  764:1261|61da7d71-b0dd-45a9-bbbd-854f314aeffb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=64626_ch=160_start_time=2019-04-13T12:22:11Z_strand=+_strand=+_rescue=1 118 236 259
  59:633|1ba0ee85-99f8-441e-af29-1a74368420f0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=4445_ch=203_start_time=2019-04-12T16:48:11Z_strand=-_strand=+ 29 30 82
  59:633|1ba0ee85-99f8-441e-af29-1a74368420f0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=4445_ch=203_start_time=2019-04-12T16:48:11Z_strand=-_strand=+ 125 232 44
  57:1692|06f68056-fe12-4a7b-bdc2-5f5ab6f8096b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=69233_ch=454_start_time=2019-04-13T08:38:25Z_strand=-_strand=+ 206 249 68
  57:1692|06f68056-fe12-4a7b-bdc2-5f5ab6f8096b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=69233_ch=454_start_time=2019-04-13T08:38:25Z_strand=-_strand=+ 328 372 45
  56:1584|aad3a075-7829-474d-bd11-a027257b4546_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=84927_ch=52_start_time=2019-04-13T12:16:12Z_strand=-_strand=+ 46 6 79
  56:1584|aad3a075-7829-474d-bd11-a027257b4546_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=84927_ch=52_start_time=2019-04-13T12:16:12Z_strand=-_strand=+ 173 243 324
  55:592|cd859cac-d370-4b27-94f7-e06eef79d269_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27226_ch=211_start_time=2019-04-12T22:08:20Z_strand=-_strand=+ 43 52 55
  55:592|cd859cac-d370-4b27-94f7-e06eef79d269_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27226_ch=211_start_time=2019-04-12T22:08:20Z_strand=-_strand=+ 153 180 270
  106:674|978d84fa-efb5-47c4-910f-e8e7318883fb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33438_ch=193_start_time=2019-04-12T23:28:15Z_strand=+_strand=+ 28 30 86
  106:674|978d84fa-efb5-47c4-910f-e8e7318883fb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33438_ch=193_start_time=2019-04-12T23:28:15Z_strand=+_strand=+ 124 228 79
  102:678|fcde4745-e76c-43b3-bccc-4ba27bd2888e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=53629_ch=44_start_time=2019-04-13T06:56:45Z_strand=+_strand=+ 65 61 51
  102:678|fcde4745-e76c-43b3-bccc-4ba27bd2888e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=53629_ch=44_start_time=2019-04-13T06:56:45Z_strand=+_strand=+ 154 255 50
  54:1132|684e58ad-6815-4b9d-b09a-b0a2de1b66ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52085_ch=252_start_time=2019-04-13T03:55:12Z_strand=-_strand=+ 124 231 180
  54:1132|684e58ad-6815-4b9d-b09a-b0a2de1b66ed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52085_ch=252_start_time=2019-04-13T03:55:12Z_strand=-_strand=+ 368 473 57
  59:641|d999c76d-64ad-4f9e-8eed-1d21309abf5f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27800_ch=104_start_time=2019-04-12T21:58:53Z_strand=-_strand=+ 30 25 87
  59:641|d999c76d-64ad-4f9e-8eed-1d21309abf5f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27800_ch=104_start_time=2019-04-12T21:58:53Z_strand=-_strand=+ 127 228 80
  58:636|4a0743b9-d692-4ee1-8fce-ef45406bbb70_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=24709_ch=75_start_time=2019-04-12T21:32:22Z_strand=-_strand=+ 8 6 97
  58:636|4a0743b9-d692-4ee1-8fce-ef45406bbb70_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=24709_ch=75_start_time=2019-04-12T21:32:22Z_strand=-_strand=+ 134 237 81
  113:610|67f64428-e410-4979-98db-80a72f35c99a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=119296_ch=435_start_time=2019-04-13T20:11:13Z_strand=+_strand=+ 12 21 87
  113:610|67f64428-e410-4979-98db-80a72f35c99a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=119296_ch=435_start_time=2019-04-13T20:11:13Z_strand=+_strand=+ 135 246 50
  113:610|67f64428-e410-4979-98db-80a72f35c99a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=119296_ch=435_start_time=2019-04-13T20:11:13Z_strand=+_strand=+ 217 325 166
  106:1669|cdc0e615-6b66-4c5b-ad7b-32b84d0e0303_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33807_ch=469_start_time=2019-04-12T23:48:59Z_strand=+_strand=+ 49 8 51
  106:1669|cdc0e615-6b66-4c5b-ad7b-32b84d0e0303_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33807_ch=469_start_time=2019-04-12T23:48:59Z_strand=+_strand=+ 182 238 329
  105:584|ee52d7e0-a89a-4849-a9e6-d3e97cb626c4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19578_ch=150_start_time=2019-04-12T20:19:21Z_strand=+_strand=+ 0 9 86
  105:584|ee52d7e0-a89a-4849-a9e6-d3e97cb626c4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19578_ch=150_start_time=2019-04-12T20:19:21Z_strand=+_strand=+ 133 247 59
  105:584|ee52d7e0-a89a-4849-a9e6-d3e97cb626c4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19578_ch=150_start_time=2019-04-12T20:19:21Z_strand=+_strand=+ 206 324 76
  105:584|ee52d7e0-a89a-4849-a9e6-d3e97cb626c4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=19578_ch=150_start_time=2019-04-12T20:19:21Z_strand=+_strand=+ 297 421 76
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 48 6 96
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 168 236 180
  54:1568|c52253fe-2487-4fcc-b370-3131801aca88_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28048_ch=171_start_time=2019-04-12T22:10:42Z_strand=-_strand=+ 374 443 87
  112:614|fc5c2f8b-38c6-417c-a2b4-5452ab309cf4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101238_ch=255_start_time=2019-04-13T15:36:21Z_strand=+_strand=+ 2 11 94
  112:614|fc5c2f8b-38c6-417c-a2b4-5452ab309cf4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101238_ch=255_start_time=2019-04-13T15:36:21Z_strand=+_strand=+ 175 290 194
  57:624|1406e643-c03d-4117-975c-6a66b3f0066b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=21385_ch=259_start_time=2019-04-12T20:23:32Z_strand=-_strand=+ 71 78 482
  104:602|6f4db4e0-bc5f-4ba8-89db-236a987b2af9_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=94003_ch=284_start_time=2019-04-13T15:25:37Z_strand=+_strand=+ 8 16 66
  104:602|6f4db4e0-bc5f-4ba8-89db-236a987b2af9_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=94003_ch=284_start_time=2019-04-13T15:25:37Z_strand=+_strand=+ 176 286 215
  105:590|a8d8953c-3339-4fd5-80d3-8c08517d22fd_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=60145_ch=420_start_time=2019-04-13T05:53:06Z_strand=+_strand=+ 8 19 76
  105:590|a8d8953c-3339-4fd5-80d3-8c08517d22fd_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=60145_ch=420_start_time=2019-04-13T05:53:06Z_strand=+_strand=+ 308 426 60
  57:628|144f5da9-c0a9-4e2f-8880-dd44dd832424_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=58545_ch=362_start_time=2019-04-13T05:35:38Z_strand=-_strand=+ 1 2 541
  108:338|79c3c6a2-8325-486b-86d4-4a430a5d10f2_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43819_ch=427_start_time=2019-04-13T02:09:37Z_strand=+_strand=+ 1 2 221
  53:538|6cf5e920-d17b-4929-9343-35336a41b654_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90173_ch=221_start_time=2019-04-13T18:24:50Z_strand=-_strand=+ 53 61 46
  53:538|6cf5e920-d17b-4929-9343-35336a41b654_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90173_ch=221_start_time=2019-04-13T18:24:50Z_strand=-_strand=+ 130 244 217
  99:683|2e3a6569-b703-45eb-b8a0-93067bbca6ec_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=74416_ch=335_start_time=2019-04-13T16:35:09Z_strand=+_strand=+ 11 8 74
  97:575|edc37db0-86fc-4a11-86fa-7deb9cab3d71_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124781_ch=474_start_time=2019-04-13T20:05:11Z_strand=+_strand=+ 6 14 98
  97:575|edc37db0-86fc-4a11-86fa-7deb9cab3d71_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124781_ch=474_start_time=2019-04-13T20:05:11Z_strand=+_strand=+ 114 228 130
  97:575|edc37db0-86fc-4a11-86fa-7deb9cab3d71_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124781_ch=474_start_time=2019-04-13T20:05:11Z_strand=+_strand=+ 262 381 105
  113:682|ca11ec7e-aa2f-416f-85b1-d815c1f4aac1_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=103067_ch=388_start_time=2019-04-13T21:50:55Z_strand=+_strand=+ 29 26 50
  106:577|fa6d6550-eb35-41ad-9f09-46540b54e4fd_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=84584_ch=408_start_time=2019-04-13T17:30:53Z_strand=+_strand=+ 366 325 61
  111:672|c00b5008-ea4c-45a8-96ef-fd857c194c77_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124387_ch=403_start_time=2019-04-13T21:43:14Z_strand=+_strand=+ 86 89 138
  111:672|c00b5008-ea4c-45a8-96ef-fd857c194c77_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124387_ch=403_start_time=2019-04-13T21:43:14Z_strand=+_strand=+ 315 324 88
  56:628|9c3f9b25-c8cb-4282-b70b-d01a541c6fa8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=5516_ch=11_start_time=2019-04-12T16:58:44Z_strand=-_strand=+ 20 25 399
